1700,1728.6
1782,2300
1705,2200
600,528.9
500,550
4262,5500
1200,1161
139,180
1600,1900
1500,1500
1000,900
2480,3200
265,343
3354,4329
900,819
150,250
2100,3000
1700,3100
1900,3200
2100,3300
2400,3400
2700,3500
2800,3600
2450,3700
3000,3800
2600,3900
2000,4000
3300,4100
2600,4200
2500,4300
2200,4400
2800,4500
2400,4600
2600,4700
2800,4800
3200,4900
3400,4950
2800,5000
3000,5200
3200,5400
3300,5600
3200,5800
3300,6000
3400,6200
3420,6400
3450,6600
3500,6800
1900,2500
2100,2550
2600,2600
2150,2650
2200,2700
1800,2750
2700,2800
2500,2850
2800,2900
2400,2950
2200,3000
220,200
240,250
230,300
250,350
270,400
1700,1500
1450,1200
420,550
450,600
1600,1300
750,700
1200,900
1900,1500
500,1100
700,1300
750,1500
2500,1700
900,1900
1200,2100
1150,2300
1200,2500
1300,2700
1150,2900
1400,3100
1500,3300
4000,3500
3000,3700
1200,3900
1800,4100
1400,4300
2000,4500
2200,4700
2000,4900
1800,5100
2200,5300
2600,5500
2100,5700
2900,5900
2400,6100
2300,6300
2000,6500
3000,6700
3200,6900
3500,3000
3200,3300
4200,3600
3800,3900
3200,4200
4200,4500
4000,4800
3200,5100
3800,5400
3550,5700
4400,6000
